country,city_ascii,population,2019 GDP per capita,1960 urban population%,2019 urban population%,change of urbanization % since 1960,2014 usable water per capita,2019 FDI data
Afghanistan,39,7474525.0,502.1154869,8.401,25.754,17.352999999999998,1412.912141,23404553.65
Albania,50,1691769.0,5352.857411,30.705,61.229,30.524,9310.845162,1201022154.0
Algeria,56,10827998.0,3948.343279,30.51,73.189,42.67899999999999,289.0270904,1381890090.0
American Samoa,1,12576.0,,66.211,87.147,20.936000000000007,,
Andorra,1,22151.0,40886.39116,58.45,87.984,29.533999999999992,3984.194514,
Angola,33,11596932.0,2973.59116,10.435,66.17699999999999,55.74199999999999,5493.326925,-4098478748.0
Argentina,236,36172782.0,10006.14897,73.611,91.991,18.379999999999995,6843.295562,6663062112.0
Armenia,28,1747029.0,4622.733493,51.275,63.219,11.943999999999996,2355.099895,254077251.7
Aruba,1,34980.0,,50.776,43.54600000000001,-7.229999999999998,,-76041739.42
Australia,301,23508533.0,54907.10191000001,81.529,86.124,4.594999999999999,20957.85401,40074777481.0
Austria,134,4446483.0,50277.27509,64.72,58.515,-6.204999999999997,6435.491337,-8100275768.0
Azerbaijan,63,4470119.0,4793.58702,52.663,56.03100000000001,3.3680000000000017,851.0679356,1503918000.0
"Bahamas, The",3,306066.0,32933.48601,59.712,83.132,23.42000000000001,1888.660751,264596251.7
Bahrain,4,325174.0,23503.977130000007,82.32,89.39399999999998,7.073999999999997,2.993843908,941755319.1
Bangladesh,18,23288987.0,1855.739824,5.135,37.405,32.27,679.5229517999999,2003078501.0
Barbados,1,110000.0,18148.24493,36.777,31.158,-5.619,280.874221,215370000.0
Belarus,89,6606289.0,6663.295293,32.401,79.044,46.643,3588.575706,1273300000.0
Belgium,77,3639342.0,46116.69923,92.46,98.041,5.581000000000002,1070.562849,-28965673808.0
Belize,8,144057.0,4815.163711,54.028,45.86600000000001,-8.161999999999992,43184.6867,102890130.2
Benin,10,1928328.0,1219.432672,9.275,47.861,38.58600000000001,1001.27911,230191998.5
Bermuda,1,52320.0,,100.0,100.0,0.0,,119258666.7
Bhutan,4,129000.0,,3.596,41.612,38.01599999999999,108475.5568,13032399.58
Bolivia,66,9560586.0,3552.068762,36.762,69.773,33.011,28347.22067,-159539118.4
Botswana,16,773961.0,7961.338140000002,3.06,70.172,67.112,1149.087385,260927936.1
Brazil,784,135409990.0,8717.186278,46.139,86.824,40.685,27919.19374,73503730876.0
Bulgaria,133,5654453.0,9737.601351,37.1,75.347,38.24699999999999,2907.001694,1504060000.0
Burkina Faso,31,2809260.0,774.8396902000002,4.7,29.98,25.28,710.7919889,207950227.8
Burundi,16,898678.0,261.2474725,2.077,13.366,11.289000000000001,1021.911468,1044960.501
Cabo Verde,10,250505.0,3603.781794,16.679000000000002,66.195,49.51599999999999,578.8499795,105301877.8
Cambodia,21,3154026.0,1643.121389,10.285,23.805,13.52,7895.510577,3663032999.0
Cameroon,34,8327335.0,1497.909176,13.937,56.968,43.03100000000001,12036.05101,781636119.5
Canada,625,37747786.0,46194.72523,69.061,81.482,12.420999999999992,80423.42794,47845284757.0
Cayman Islands,1,27704.0,,100.0,100.0,0.0,,34689770001.0
Central African Republic,24,1388532.0,467.9074406,20.1,41.77,21.67,31584.7833,25601157.42
Chad,24,2126656.0,709.5403100999998,6.695,23.279,16.584,1097.810607,566638950.9
Chile,102,13765426.0,14896.45387,67.836,87.64299999999999,19.806999999999988,49834.00209,11928369565.0
China,690,1388866419.0,10261.67913,16.203,60.308,44.105,2061.908566,155815000000.0
Colombia,73,28487780.0,6432.387583,46.268,81.104,34.836,45668.21638,14313721547.0
Comoros,4,157002.0,1393.522372,12.550999999999998,29.164,16.613000000000003,1580.215699,7859590.307999998
Costa Rica,18,913445.0,12238.37496,34.254,80.07600000000002,45.82200000000001,23564.26873,2505080215.0
Croatia,43,2065222.0,14853.23984,30.154,57.242,27.088,8894.889072,1170052265.0
Cuba,67,7480952.0,,58.401,77.109,18.707999999999988,3371.392093,
Cyprus,6,724091.0,27858.371,35.628,66.805,31.17700000000001,676.9158672,23840776171.0
Denmark,12,1894253.0,59822.09296,73.687,87.994,14.307000000000002,1063.174728,-7837367041.0
Djibouti,5,670959.0,3408.846254,50.325,77.915,27.590000000000003,333.8169971000001,181913000.0
Dominica,1,16582.0,8300.375074,37.846,70.786,32.940000000000005,2813.533094000001,32551851.85
Dominican Republic,31,6348942.0,8282.116222,30.191,81.828,51.637,2311.81392,2824500000.0
Ecuador,75,8892658.0,6183.823825,33.878,63.986,30.108000000000004,27733.48125,937624269.5
El Salvador,14,2063848.0,4187.250031000001,38.354,72.74600000000002,34.39200000000001,2482.872469,724753960.8
Equatorial Guinea,12,569289.0,8131.923887999998,25.537,72.627,47.09,23167.20664,452287114.4
Eritrea,14,1344590.0,,9.799,,,,67116000.0
Estonia,25,846104.0,23659.87229,57.533,69.051,11.517999999999999,9668.744699,2962634486.0
Ethiopia,40,7156734.0,857.501351,6.433,21.225,14.792000000000002,1243.70181,2516228020.0
Faroe Islands,2,17990.0,,21.383000000000006,42.225,20.842,,
Fiji,7,286476.0,6220.046421,29.681,56.75,27.069000000000006,32950.43124,322557661.4
Finland,107,4350445.0,48685.85399,55.29,85.446,30.156,19591.64422,8854309516.0
France,444,38429395.0,40493.92857,61.88,80.709,18.829,3016.0423140000007,51038713851.0
French Polynesia,1,131695.0,,42.28100000000001,61.897,19.615999999999996,,32625026.51
Gabon,17,1200275.0,7667.366860999998,17.398,89.741,72.343,87058.07411,1553136883.0
"Gambia, The",8,309494.0,751.2946883999998,12.129,61.931,49.80200000000001,1482.182682,32266071.55
Georgia,35,2069995.0,4769.186543,43.069,59.039,15.97,15628.80604,1268912420.0
Germany,1606,58243288.0,46258.87829,71.384,77.376,5.9920000000000035,1321.273115,72211216446.0
Ghana,19,6417422.0,2202.1155670000007,23.252,56.707,33.455,1112.969243,2318800000.0
Gibraltar,1,187083.0,,100.0,100.0,0.0,,
Greece,125,4587831.0,19582.53601,55.93600000000001,79.388,23.452,5324.807276,4611617008.0
Greenland,5,34762.0,,58.534,87.052,28.518000000000008,,
Grenada,1,4315.0,10965.51316,30.332,36.396,6.064000000000004,1836.513563,131044444.4
Guam,1,122411.0,,50.147,94.859,44.712,,
Guatemala,33,4362464.0,4619.987097,31.121,51.43899999999999,20.317999999999994,7134.309784,966759860.0
Guinea,28,3034793.0,1064.1312369999996,10.472,36.5,26.028000000000002,20267.28241,44400000.0
Guinea-Bissau,9,531412.0,697.7844029,13.6,43.777,30.177,9453.811925,30612874.13
Guyana,8,315624.0,5468.356629,29.009,26.689,-2.3200000000000003,315701.2235,1713333086.0
Haiti,14,3181750.0,754.5879177,15.593,56.192,40.599,1233.2913199999996,75000000.0
Honduras,35,5324013.0,2574.912191,22.747,57.73,34.983000000000004,10123.28726,955095298.0
Hungary,230,6406810.0,16475.741840000002,55.911,71.64399999999998,15.73299999999999,608.1203527000001,32049970433.0
Iceland,10,262806.0,66944.82551,80.3,93.855,13.555000000000007,519264.7212,-480910801.7
India,433,270170371.0,2104.1459,17.924,34.472,16.548000000000002,1116.081607,50610647354.0
Indonesia,126,85282118.0,4135.569263,14.586,55.985,41.398999999999994,7913.643562,24946901158.0
Iraq,41,18624715.0,5955.10901,42.899,70.678,27.779000000000003,1022.900445,-3075600000.0
Ireland,24,1893782.0,78660.95646,45.184,63.405,18.221000000000004,10520.12349,-46633226471.0
Israel,69,6091260.0,43641.39774,76.848,92.501,15.653000000000004,91.28863031,19047100000.0
Italy,92,16849060.0,33189.5658,59.361,70.736,11.375,3002.180982,29220591590.0
Jamaica,17,1418101.0,5582.263778000001,33.769,55.985,22.215999999999998,3763.30024,665416000.0
Japan,827,148273773.0,40246.88013,63.272,91.698,28.425999999999995,3378.484553,37176832958.0
Jordan,12,6057680.0,4330.329346,50.879,91.203,40.32399999999999,76.4569791,825492957.7
Kazakhstan,105,10797195.0,9731.145207,44.198,57.54,13.342,3722.173715,3587949041.0
Kenya,41,11130531.0,1816.546916,7.362,27.507,20.145,443.2549983,1332436904.0
Kiribati,2,33907.0,1655.078839,16.29,54.835,38.545,,482545.0943
Kosovo,48,1963710.0,4417.50994,,,,,304085465.6
Kuwait,3,900367.0,32031.9801,74.893,100.0,25.107,0.0,675272105.1
Latvia,46,1350792.0,17836.36489,52.867,68.222,15.354999999999995,8496.415355,1059246101.0
Lebanon,11,1588587.0,7784.316856999999,42.343,88.758,46.41499999999999,766.4780811,2223271880.0
Lesotho,10,606980.0,1157.535164,3.512,28.585,25.073,2559.41338,117645547.2
Liberia,13,1277948.0,621.8929536,18.632,51.615,32.983000000000004,45876.76812,137800000.0
Libya,30,4110170.0,7683.750611,27.323,80.393,53.07,110.0276531,
Liechtenstein,3,46508.0,,20.437,14.371,-6.0660000000000025,,
Lithuania,55,1861736.0,19455.45413,39.46,67.855,28.395000000000003,5272.191373,1353295478.0
Luxembourg,9,194462.0,114704.5942,69.556,91.223,21.666999999999998,1797.529835,-11420831094.0
Madagascar,26,4102424.0,522.2198092,10.642,37.861,27.218999999999994,14285.78272,227267487.3
Malawi,19,3330895.0,411.5523404,4.39,17.174,12.784,990.8198758,98422743.26
Malaysia,34,19509922.0,11414.83766,26.598000000000006,76.607,50.00899999999999,19419.71286,7650474717.0
Maldives,1,133019.0,10790.50024,11.173,40.238,29.065,68.9631392,891144415.0
Mali,28,3281752.0,890.7372855000001,11.066,43.136,32.07000000000001,3543.121561,493823353.8
Malta,3,47579.0,29416.23061,90.129,94.678,4.549000000000007,116.2100341,4476080088.0
Marshall Islands,1,25400.0,,35.584,77.417,41.833,,4177233.798
Mauritania,12,1692138.0,1677.919253,6.88,54.507,47.627,101.7579707,-883561115.8
Mauritius,6,498704.0,11203.54058,35.111,40.766,5.655000000000001,2181.716093,472302807.1
Mexico,746,103462416.0,9863.072699,50.753,80.444,29.691000000000006,3398.276474,29360171664.0
Moldova,52,1707469.0,4498.52085,23.424,42.726000000000006,19.302000000000007,567.0382751,593010000.0
Monaco,1,36371.0,,100.0,100.0,0.0,,
Mongolia,24,2019568.0,4295.235025,35.679,68.543,32.864000000000004,11836.29989,2443343095.0
Montenegro,10,319993.0,8832.036836,18.788,67.15,48.36200000000001,,462868328.5
Morocco,77,16986585.0,3204.095003,29.357,62.994,33.637,848.143007,1599761098.0
Mozambique,34,5494580.0,491.8047231000001,6.8679999999999986,36.528,29.66,3815.695733,2180768236.0
Namibia,26,799449.0,4957.458006,17.909000000000006,51.042,33.133,2709.562203,-40639850.24
Nepal,35,3541383.0,1071.050761,3.48,20.153,16.673,7366.133166,185554758.7
Netherlands,15,5804106.0,52447.83144,59.752,91.876,32.12400000000001,652.2380541,35689139761.0
New Caledonia,1,93060.0,,37.36,71.104,33.744,,413344988.1
New Zealand,67,4687428.0,42084.35337,75.998,86.615,10.61699999999999,72510.36654,3875014986.0
Nicaragua,21,2738146.0,1912.903745,39.581,58.76,19.179,25428.42087,503000000.0
Niger,18,2303831.0,554.6009687000002,5.792999999999998,16.517,10.724,181.9111975,592758635.8
Nigeria,70,54771880.0,2229.858696,15.41,51.157,35.747,1252.799653,3299085483.0
Norway,50,2458388.0,75419.63487000001,49.92,82.616,32.696,74359.11012,13782518971.0
Oman,8,2226178.0,15474.032480000002,16.4,85.443,69.043,347.6308954,3419765930.0
Pakistan,90,56952881.0,1284.702041,22.104,36.907,14.802999999999995,281.6081824,2218000000.0
Palau,2,15770.0,,56.823,80.47,23.647,,22000000.0
Panama,14,1631065.0,15731.01603,41.249,68.059,26.81,35013.835080000004,6068041578.0
Papua New Guinea,21,849653.0,2845.180186,3.725,13.25,9.525,100796.1639,333974905.4
Paraguay,31,3432268.0,5414.799138,35.569,61.879,26.309999999999995,17728.54596,391823179.8
Peru,97,21270292.0,6977.695784000001,46.81100000000001,78.09899999999998,31.287999999999986,54535.74017000001,8891912000.0
Philippines,147,62547674.0,3485.084218,30.297,47.149,16.851999999999997,4765.546172,7685339334.0
Poland,209,15534260.0,15595.227030000002,47.892,60.037,12.145000000000005,1410.090857,15973000000.0
Portugal,225,8318471.0,23145.04082,34.955,65.764,30.809,3653.473078,8270971798.0
Puerto Rico,56,1540117.0,32873.71927,44.547,93.576,49.02900000000001,2008.558155,
Qatar,1,1312947.0,64781.7332,85.275,99.188,13.912999999999982,22.77165157,-2812637363.0
Romania,237,9285451.0,12919.52964,34.209,54.084,19.874999999999996,2128.687764,6911103583.0
Rwanda,16,1545603.0,801.656187,2.6,17.313,14.713,857.119528,420159000.0
Samoa,1,37708.0,4315.920675,18.926,18.056,-0.870000000000001,,1019329.508
San Marino,1,4040.0,,48.9,97.368,48.468,,
Saudi Arabia,42,22326971.0,23139.79866,31.25,84.065,52.815,77.62721046,4562572837.0
Senegal,15,2632879.0,1446.830965,23.0,47.653,24.653000000000002,1820.140361,983338154.0
Serbia,47,3628632.0,7402.354559,,56.26,,1179.0071380000004,4281889582.0
Seychelles,1,26450.0,17401.72151,27.673,57.119,29.446,,235678362.2
Sierra Leone,5,1489035.0,504.4625434,17.352,42.484,25.131999999999994,22801.29922,367700000.0
Singapore,1,5745000.0,65233.28244,100.0,100.0,0.0,109.6947488,105466000000.0
Slovenia,23,708978.0,25739.24781,28.204,54.822,26.617999999999995,9054.404019,1709955186.0
Solomon Islands,2,90674.0,2127.538508,5.768,24.21,18.442,76139.66774,32787092.72
Somalia,16,2970039.0,,17.312,45.554,28.241999999999994,446.9747853,447000000.0
South Africa,102,15428030.0,6001.400814,46.619,66.85600000000001,20.237000000000013,821.3252556,4624502604.0
South Sudan,14,1406299.0,,8.748,19.899,11.151000000000002,2463.314847,-231840000.0
Spain,125,22741191.0,29613.67114,56.567,80.565,23.998,2392.381453,11431907234.0
Sri Lanka,19,2259322.0,3853.083693,16.430999999999994,18.585,2.1540000000000035,2541.149293,758186663.2
Sudan,32,15752339.0,441.5056034,10.746,34.936,24.19,101.6511346,
Suriname,11,312458.0,6854.906561,47.26,66.095,18.835,178935.1731,72402793.87
Sweden,51,4057311.0,51610.06606000001,72.49,87.708,15.218000000000005,17635.93854,24397856108.0
Switzerland,161,4004627.0,81993.72715,70.92399999999998,73.84899999999998,2.924999999999997,4933.658776,-18382529056.0
Tajikistan,16,1515690.0,870.7875892999998,33.168,27.309,-5.858999999999997,7689.480691,212809730.7
Tanzania,54,11272114.0,1122.12181,5.246,34.5,29.254,1681.351066,1112400000.0
Thailand,181,23598357.0,7808.192916,19.672,50.692,31.02,3280.306341,6130101142.0
Timor-Leste,8,297027.0,1294.188934,10.091,30.947,20.856,6995.4723159999985,74580323.02
Togo,7,1218460.0,675.5422133,10.098,42.24800000000001,32.15000000000001,1611.096222,133312924.1
Tonga,2,31962.0,,17.552,23.107,5.555,,1282630.871
Tunisia,26,3645708.0,3317.541013,37.511,69.25399999999999,31.742999999999995,379.18501160000005,810173457.7
Turkey,196,70958511.0,9042.492983,31.515,75.63,44.115,2939.199727,8787000000.0
Turkmenistan,21,2454403.0,,46.412,52.048,5.636000000000003,257.0281183,2165862500.0
Tuvalu,1,6025.0,4059.029996,15.895,63.215,47.32000000000001,,298862.0826
Uganda,38,3790816.0,776.7685759,4.417,24.361,19.944000000000006,1056.562734,1266026788.0
Ukraine,315,25564289.0,3659.031312,46.792,69.473,22.681,1217.083631,5833000000.0
United Arab Emirates,9,6235798.0,43103.32306,73.5,86.789,13.289,16.27926537,13787465940.0
United Kingdom,1794,72554974.0,42300.26713,78.444,83.652,5.207999999999998,2244.5022,20696989466.0
United States,7768,400521452.0,65118.35833,69.99600000000001,82.459,12.462999999999996,8853.25503,351631000000.0
Uruguay,54,2804032.0,16190.12696,80.241,95.426,15.185000000000002,27114.18601,968813451.1
Uzbekistan,55,8086374.0,1724.841134,33.978,50.433,16.455,531.2490856000002,2314621446.0
Vanuatu,2,64834.0,3058.065675,10.404000000000002,25.394,14.99,37894.86449,41000000.0
Vietnam,65,37934404.0,2715.276036,14.7,36.628,21.928,3918.678374,16120000000.0
Zambia,34,4743400.0,1291.343357,18.145,44.072,25.927,5207.8757369999985,547967909.6
Zimbabwe,24,3659454.0,1463.98591,12.608,32.21,19.602000000000004,902.3542983,280000000.0
