Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5042.003687,,,,,4533.686105,,,,,3998.73974,,,,,3579.751317,,,,,3659.995926,,,,,4063.067074,,,,,3254.968781,,,,,2435.795479,,,,,2086.212107,,,,,1739.817987,,,,,1513.091078,,1412.912141,,,,,,
Angola,AGO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,26388.33393,,,,,25631.06541,,,,,23685.48745,,,,,19644.97026,,,,,16530.86413,,,,,13845.68609,,,,,11692.79612,,,,,9951.874617,,,,,8447.769695,,,,,7079.523087,,,,,5894.551805,,5493.326925,,,,,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,15718.86948,,,,,13685.40261,,,,,11992.19304,,,,,10702.01222,,,,,9661.391571,,,,,8723.555708,,,,,8284.470867,,,,,8544.345311,,,,,8816.752485,,,,,9057.187215,,,,,9274.579618,,9310.845162,,,,,,
Andorra,AND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20533.50683,,,,,15203.77686,,,,,11735.83222,,,,,9630.465961,,,,,8068.722197,,,,,6513.259726,,,,,5359.326179,,,,,4906.182474,,,,,4505.417636,,,,,3816.941609,,,,,3828.842491,,3984.194514,,,,,,
Arab World,ARB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1217.604491,,,,,1060.52252,,,,,924.7168642,,,,,799.0243483,,,,,681.9387278,,,,,588.6356524,,,,,518.7018081,,,,,457.716016,,,,,412.0199741,,,,,367.8077571,,,,,305.3490238,,292.4444603,,,,,,
United Arab Emirates,ARE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1337.876166,,,,,883.5431257,,,,,453.2078048,,,,,203.9861616,,,,,128.7768092,,,,,97.81315861,,,,,73.06768845,,,,,56.15113189,,,,,43.11860174,,,,,24.31576255,,,,,16.40851335,,16.27926537,,,,,,
Argentina,ARG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,13804.1546,,,,,12790.82201,,,,,11844.3162,,,,,10952.16387,,,,,10140.8086,,,,,9363.651683,,,,,8708.794206,,,,,8189.036848,,,,,7749.109522,,,,,7358.074523,,,,,6996.815562,,6843.295562,,,,,,
Armenia,ARM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.263893,,,,,2189.213265,,,,,2260.728324,,,,,2338.865819,,,,,2378.105206,,2355.099895,,,,,,
American Samoa,ASM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,931.2154152,,,,,849.1043582,,,,,810.815025,,,,,836.5642948,,,,,841.7099662,,,,,842.5555358,,,,,806.5641917,,,,,725.2036149,,,,,664.1547992,,,,,618.8560684,,,,,575.163977,,561.785614,,,,,,
Australia,AUS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,45801.52672,,,,,41698.44902,,,,,37337.78554,,,,,34667.41826,,,,,32415.33799,,,,,30251.0468,,,,,28122.32066,,,,,26570.17875,,,,,25036.38418,,,,,23622.50091,,,,,21642.10339,,20957.85401,,,,,,
Austria,AUT,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,7714.032133,,,,,7455.607281,,,,,7290.367794,,,,,7267.028961,,,,,7261.550486,,,,,7261.122918,,,,,7014.67176,,,,,6902.574924,,,,,6805.282433,,,,,6630.111047,,,,,6524.324878,,6435.491337,,,,,,
Azerbaijan,AZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.295584,,,,,1035.307626,,,,,993.0310391,,,,,945.6609138,,,,,872.9763945,,851.0679356,,,,,,
Burundi,BDI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3460.230226,,,,,3092.32274,,,,,2818.190834,,,,,2609.97368,,,,,2296.948392,,,,,2001.13862,,,,,1769.393191,,,,,1643.218945,,,,,1500.571366,,,,,1279.537799,,,,,1088.039483,,1021.911468,,,,,,
Belgium,BEL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1301.436851,,,,,1252.480041,,,,,1235.697446,,,,,1220.70834,,,,,1217.495038,,,,,1215.776647,,,,,1194.605401,,,,,1178.63778,,,,,1161.351949,,,,,1129.337361,,,,,1080.406362,,1070.562849,,,,,,
Benin,BEN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4115.232914,,,,,3765.573663,,,,,3384.187041,,,,,2999.907673,,,,,2622.39053,,,,,2271.092106,,,,,1931.804307,,,,,1639.699448,,,,,1411.849723,,,,,1218.2439,,,,,1058.663527,,1001.27911,,,,,,
Burkina Faso,BFA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2519.995662,,,,,2339.501319,,,,,2145.859016,,,,,1953.450066,,,,,1746.23564,,,,,1535.612764,,,,,1344.503396,,,,,1171.998133,,,,,1016.83058,,,,,877.0685926,,,,,754.3186553,,710.7919889,,,,,,
Bangladesh,BGD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2068.877585,,,,,1778.628538,,,,,1575.968314,,,,,1429.279573,,,,,1251.010832,,,,,1097.509393,,,,,972.3689419,,,,,873.8307853,,,,,792.5839146,,,,,736.0137618,,,,,695.3282886,,679.5229518,,,,,,
Bulgaria,BGR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,2620.758957,,,,,2527.007087,,,,,2448.636925,,,,,2385.229839,,,,,2354.931456,,,,,2340.782483,,,,,2458.969172,,,,,2526.447089,,,,,2679.541737,,,,,2783.175518,,,,,2874.393914,,2907.001694,,,,,,
Bahrain,BHR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,23.10215774,,,,,20.40160561,,,,,17.45543409,,,,,13.19370001,,,,,10.36403679,,,,,8.9092614,,,,,7.646926127,,,,,6.723468772,,,,,5.441096054,,,,,3.861305758,,,,,3.077057994,,2.993843908,,,,,,
"Bahamas, The",BHS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5780.776441,,,,,4586.554842,,,,,3935.546985,,,,,3551.478684,,,,,3179.159249,,,,,2877.449429,,,,,2631.292077,,,,,2435.985774,,,,,2275.2389,,,,,2074.756438,,,,,1925.27724,,1888.660751,,,,,,
Bosnia and Herzegovina,BIH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8385.148037,,,,,9501.963293,,,,,9443.028877,,,,,9434.4988,,,,,9847.510605,,10194.98556,,,,,,
Belarus,BLR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328.112764,,,,,3360.680043,,,,,3446.336686,,,,,3556.130859,,,,,3592.373391,,3588.575706,,,,,,
Belize,BLZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,156699.2524,,,,,135413.339,,,,,120015.7295,,,,,111395.8055,,,,,100726.0726,,,,,87540.15603,,,,,78528.64289,,,,,68869.0315,,,,,58160.36405,,,,,51032.52236,,,,,45147.92899,,43184.6867,,,,,,
Bermuda,BMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,79805.62663,,,,,72112.94003,,,,,64817.32619,,,,,58049.99453,,,,,52198.48495,,,,,47106.6213,,,,,42382.82232,,,,,38236.42279,,,,,34714.22359,,,,,31752.04654,,,,,29245.46883,,28347.22067,,,,,,
Brazil,BRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,73986.14283,,,,,64303.37544,,,,,56689.71538,,,,,50353.39348,,,,,44751.58459,,,,,40179.82562,,,,,36697.93046,,,,,33855.82502,,,,,31531.01368,,,,,29774.29553,,,,,28406.22616,,27919.19374,,,,,,
Barbados,BRB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,343.889302,,,,,338.0391196,,,,,331.2423659,,,,,321.3664501,,,,,314.8589825,,,,,310.0546859,,,,,304.3144177,,,,,298.299321,,,,,292.5848039,,,,,287.0470039,,,,,281.9880155,,280.874221,,,,,,
Brunei Darussalam,BRN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,94992.23299,,,,,75590.49516,,,,,59849.88241,,,,,48650.9381,,,,,41249.12042,,,,,35779.98257,,,,,31034.13024,,,,,27247.25764,,,,,24511.07612,,,,,22668.78242,,,,,21303.84547,,20743.39445,,,,,,
Bhutan,BTN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,405024.003,,,,,351920.9326,,,,,299847.2357,,,,,255769.6243,,,,,221479.2952,,,,,192186.3115,,,,,177730.8818,,,,,146816.5283,,,,,131489.6643,,,,,117315.1084,,,,,111177.1522,,108475.5568,,,,,,
Botswana,BWA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4582.093941,,,,,4108.941742,,,,,3597.704664,,,,,2998.017561,,,,,2492.535376,,,,,2078.091204,,,,,1760.10631,,,,,1558.011588,,,,,1407.920255,,,,,1279.686733,,,,,1176.729584,,1149.087385,,,,,,
Central African Republic,CAF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,90855.78416,,,,,82538.09924,,,,,75490.60865,,,,,69120.39154,,,,,60376.82849,,,,,53271.07041,,,,,47647.43332,,,,,41563.05381,,,,,37084.49584,,,,,33587.34257,,,,,31782.41891,,31584.7833,,,,,,
Canada,CAN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,153110.5619,,,,,139623.7507,,,,,128271.6991,,,,,120122.1807,,,,,113469.2273,,,,,107764.321,,,,,100453.7549,,,,,95298.76799,,,,,90879.8731,,,,,86655.04678,,,,,82098.91612,,80423.42794,,,,,,
Central Europe and the Baltics,CEB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1833.887491,,,,,1755.647577,,,,,1691.88173,,,,,1620.346215,,,,,1570.040011,,,,,1533.386346,,,,,2375.556973,,,,,2286.651407,,,,,2339.29116,,,,,2374.387671,,,,,2407.362625,,2417.577175,,,,,,
Switzerland,CHE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,7248.177415,,,,,6742.565029,,,,,6452.688695,,,,,6431.918619,,,,,6321.083834,,,,,6172.550911,,,,,5876.052526,,,,,5699.045805,,,,,5545.829763,,,,,5350.201831,,,,,5051.982272,,4933.658776,,,,,,
Channel Islands,CHI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,104401.4101,,,,,95037.69023,,,,,87591.89974,,,,,81023.33664,,,,,75358.20052,,,,,69999.62983,,,,,64505.22416,,,,,59853.02532,,,,,56425.46047,,,,,53538.38839,,,,,50861.05467,,49834.00209,,,,,,
China,CHN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,4225.182871,,,,,3728.049831,,,,,3263.227498,,,,,2981.594247,,,,,2788.931521,,,,,2594.934665,,,,,2414.654455,,,,,2286.852428,,,,,2196.969697,,,,,2134.480626,,,,,2082.631534,,2061.908566,,,,,,
Cote d'Ivoire,CIV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,20377.82244,,,,,16909.60097,,,,,13780.39389,,,,,10935.74948,,,,,8766.696684,,,,,7182.520713,,,,,5997.305271,,,,,5078.429147,,,,,4459.265072,,,,,4008.087741,,,,,3566.126587,,3392.841555,,,,,,
Cameroon,CMR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,50567.45764,,,,,45105.92457,,,,,39754.32121,,,,,34611.46413,,,,,29781.33302,,,,,25440.16139,,,,,21840.87538,,,,,19031.75228,,,,,16689.48786,,,,,14575.3278,,,,,12706.38213,,12036.05101,,,,,,
"Congo, Dem. Rep.",COD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,56105.56324,,,,,48969.9311,,,,,42610.88643,,,,,37114.7336,,,,,32470.70574,,,,,28545.41328,,,,,24106.76791,,,,,20535.20213,,,,,18046.31913,,,,,15396.80571,,,,,13039.55751,,12200.50356,,,,,,
"Congo, Rep.",COG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,207624.4952,,,,,182035.7003,,,,,157836.1377,,,,,136262.4439,,,,,117779.6936,,,,,102241.9071,,,,,89158.34522,,,,,77425.29505,,,,,67061.64566,,,,,57273.78339,,,,,49221.78583,,46865.36173,,,,,,
Colombia,COL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,125490.5687,,,,,108128.4899,,,,,95263.79077,,,,,85238.97412,,,,,76329.57852,,,,,68760.10906,,,,,62313.76862,,,,,56860.65561,,,,,52476.60204,,,,,49042.56565,,,,,46552.6635,,45668.21638,,,,,,
Comoros,COM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6085.254414,,,,,5558.205996,,,,,5015.988463,,,,,4349.401957,,,,,3670.33088,,,,,3185.947846,,,,,2749.468436,,,,,2390.662074,,,,,2107.189203,,,,,1870.265889,,,,,1657.753937,,1580.215699,,,,,,
Cabo Verde,CPV,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1427.606095,,,,,1211.988995,,,,,1103.578168,,,,,1097.554283,,,,,1019.527347,,,,,934.1865571,,,,,843.2722336,,,,,742.0985062,,,,,677.2758161,,,,,631.4991791,,,,,593.783091,,578.8499795,,,,,,
Costa Rica,CRI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,78837.11763,,,,,66598.61428,,,,,58122.51918,,,,,51232.87609,,,,,44781.66757,,,,,39170.13392,,,,,34382.87307,,,,,30384.92865,,,,,27554.75899,,,,,25654.83396,,,,,24104.09556,,23564.26873,,,,,,
Caribbean small states,CSS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,85348.58743,,,,,78848.58354,,,,,74128.21898,,,,,70064.96135,,,,,66141.61735,,,,,63034.2502,,,,,60786.3971,,,,,58253.97363,,,,,56257.07328,,,,,54376.50081,,,,,52536.91501,,51798.89411,,,,,,
Cuba,CUB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5114.34835,,,,,4611.450236,,,,,4223.661256,,,,,3951.838984,,,,,3834.887761,,,,,3705.77651,,,,,3550.542655,,,,,3468.692412,,,,,3403.67749,,,,,3388.106537,,,,,3386.307007,,3371.392093,,,,,,
Curacao,CUW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1350.20279,,,,,1319.1095,,,,,1242.042172,,,,,1172.007062,,,,,1127.653238,,,,,1078.27741,,,,,974.255912,,,,,875.2342374,,,,,798.3917524,,,,,733.2804995,,,,,687.1968185,,676.9158672,,,,,,
Czech Republic,CZE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.187191,,,,,1289.605602,,,,,1276.844317,,,,,1251.095898,,1249.364985,,,,,,
Germany,DEU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1445.442307,,,,,1390.489179,,,,,1359.792921,,,,,1368.989952,,,,,1365.956877,,,,,1374.616007,,,,,1327.1384,,,,,1304.324967,,,,,1297.150591,,,,,1300.652957,,,,,1330.418465,,1321.273115,,,,,,
Djibouti,DJI,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3184.57815,,,,,2283.15715,,,,,1673.882962,,,,,1081.162899,,,,,778.6726746,,,,,611.8328473,,,,,487.7620502,,,,,453.9518781,,,,,401.6376104,,,,,372.4621361,,,,,345.5679755,,333.8169971,,,,,,
Dominica,DMA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,3226.743248,,,,,2954.82079,,,,,2788.194783,,,,,2723.311547,,,,,2666.560004,,,,,2783.886863,,,,,2835.110002,,,,,2832.901316,,,,,2863.811447,,,,,2825.058267,,,,,2818.290707,,2813.533094,,,,,,
Denmark,DNK,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,1290.953621,,,,,1240.860545,,,,,1202.020356,,,,,1179.148179,,,,,1172.376466,,,,,1170.269536,,,,,1160.234135,,,,,1135.290486,,,,,1116.085753,,,,,1098.611758,,,,,1073.043502,,1063.174728,,,,,,
Dominican Republic,DOM,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,6674.206153,,,,,5699.606024,,,,,4941.68912,,,,,4345.815996,,,,,3872.922013,,,,,3491.8624,,,,,3172.099776,,,,,2906.830396,,,,,2693.41746,,,,,2516.366825,,,,,2366.348868,,2311.81392,,,,,,
Algeria,DZA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,968.1726786,,,,,847.4559673,,,,,735.9680335,,,,,639.8260492,,,,,550.0441942,,,,,473.2003706,,,,,416.2299952,,,,,378.2405253,,,,,353.1615604,,,,,329.2653502,,,,,300.9317891,,289.0270904,,,,,,
East Asia & Pacific (excluding high income),EAP,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9693.382495,,,,,8527.560234,,,,,7465.477628,,,,,6766.836535,,,,,6251.707358,,,,,5754.665728,,,,,5316.740766,,,,,4992.765852,,,,,4750.181471,,,,,4566.45966,,,,,4405.315465,,4341.731962,,,,,,
Early-demographic dividend,EAR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,12008.63796,,,,,10653.08719,,,,,9436.447866,,,,,8359.825708,,,,,7385.13834,,,,,6531.522048,,,,,5798.039358,,,,,5167.472274,,,,,4721.896145,,,,,4352.094229,,,,,4036.030256,,3924.175449,,,,,,
East Asia & Pacific,EAS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,9684.752762,,,,,8583.102708,,,,,7566.876793,,,,,6883.997358,,,,,6380.587995,,,,,5901.271312,,,,,5479.080132,,,,,5162.515458,,,,,4928.732325,,,,,4748.524204,,,,,4584.421605,,4522.053205,,,,,,
Europe & Central Asia (excluding high income),ECA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14039.66818,,,,,13910.46764,,,,,13870.73572,,,,,13499.30024,,,,,13140.62551,,12965.15041,,,,,,
